Name,Location,Contact,Rating,PRICE RANGE,CUISINES,MEALS,SPECIAL DIETS,FEATURES,id
Vasinikó London,"7-9 Burleigh Street, London WC2E 7PW England",+44 20 7836 8628,5.0,10.95 - 34.84,"Italian, Northern-Italian, Central-Italian, Southern-Italian","Lunch, Dinner",,,0
Sitara,"784 Holloway Road Archway, London N19 3JH England",+44 20 7281 0648,5.0,,Indian,Dinner,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,1
Awesome Thai #Finchley,"826 High Road North Finchley, London N12 9RA England",+44 20 8492 8477,5.0,,"Asian, Thai","Dinner, Lunch",Vegetarian Friendly,,2
Jamon Jamon Belsize Park,"177 Haverstock Hill, London NW3 4QS England",+44 20 7483 4242,4.0,9.95 - 19.91,"Mediterranean, Spanish, International, Catalan",,"Vegetarian Friendly, Gluten Free Options",,3
Uzumaki London,"107 Great Russell Street, London WC1B 3NA England",+44 7746 998623,5.0,2.38 - 18.2,"Japanese, Asian, Japanese Fusion","Lunch, Dinner, Drinks",,,4
Gusto D'Oro,"Brownhill Road 8 Eros House, London SE6 2EF England",+44 20 3581 5312,5.0,7.91 - 15.82,"Italian, Mediterranean, Neapolitan, Campania, Central-Italian, Southern-Italian","Lunch, Dinner, Late Night, Drinks",,,5
The Clink Restaurant,"Brixton Jebb Avenue Brixton, London SW2 5XF England",+44 20 8678 9007,5.0,19.91 - 39.81,"European, British, Contemporary",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,6
The Drift,"110 Bishopsgate Salesforce Tower, London EC2N 4AY England",+44 20 3004 4969,4.5,7.96 - 24.88,"Bar, International, European, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,7
Double J's Cafe,"333 Euston Road, London NW1 3AD England",+44 20 7388 1212,5.0,,"Cafe, British","Breakfast, Lunch, Brunch","Vegetarian Friendly, Vegan Options",,8
Publiq.,"1 Palace Gate 1 D, London W8 5LS England",+44 20 3417 6768,5.0,29.86 - 64.69,"Bar, International, British, Dining bars","Lunch, Dinner, Late Night, Drinks",,,9
